date,amout,number
2019/4/1,75798.7,5499
2019/4/2,81568.7,5737
2019/4/3,88531.5,5712
2019/4/4,91438.9,5917
2019/4/5,28106.6,2453
2019/4/6,23491.4,1967
2019/4/7,29893.1,2537
2019/4/8,94549.5,6073
2019/4/9,95614,6102
2019/4/10,94095.7,6126
2019/4/11,112689.6,6016
2019/4/12,84138.5,5806
2019/4/13,45018.4,3866
2019/4/14,45713.2,3894
2019/4/15,86203.2,5820
2019/4/16,91803.2,6090
2019/4/17,94472.7,5968
2019/4/18,103625.4,5751
2019/4/19,77064.4,5518
2019/4/20,48065.7,3903
2019/4/21,44530.1,3766
2019/4/22,110993.2,5765
2019/4/23,85019.7,5785
2019/4/24,110266.9,5678
2019/4/25,81131.1,5582
2019/4/26,66881.1,5081
2019/4/27,25057.3,2451
2019/4/28,0,0
2019/4/29,52751,4198
2019/4/30,54284.8,4245
